run_id,date_run,env,model_version,decile,pd_avg,odr,count
2025-10-21_0149Z_v1.0.0,2025-10-21,local,1.0.0,1,7e-05,0.0,3528
2025-10-21_0149Z_v1.0.0,2025-10-21,local,1.0.0,2,0.00074,0.0,512
2025-10-21_0149Z_v1.0.0,2025-10-21,local,1.0.0,3,0.0013,0.0,996
2025-10-21_0149Z_v1.0.0,2025-10-21,local,1.0.0,4,0.00251,0.00103,968
2025-10-21_0149Z_v1.0.0,2025-10-21,local,1.0.0,5,0.00448,0.0,1002
2025-10-21_0149Z_v1.0.0,2025-10-21,local,1.0.0,6,0.00834,0.00101,995
2025-10-21_0149Z_v1.0.0,2025-10-21,local,1.0.0,7,0.03857,0.01001,999
2025-10-21_0149Z_v1.0.0,2025-10-21,local,1.0.0,8,0.16942,0.212,1000
